"Refid","Author","Title","Date","Journal","PMID","User","Level","Were you able to find the article? ","Type of Study","Sample Size","Sample Size is >5 (Case Reports ONLY) ","Speciality Bucket -> Anesthesia","Speciality Bucket -> Cardiology","Speciality Bucket -> Emergency Medicine","Speciality Bucket -> Family Medicine","Speciality Bucket -> Gastroenterology","Speciality Bucket -> General","Speciality Bucket -> Immunology","Speciality Bucket -> Internal Medicine","Speciality Bucket -> ICU","Speciality Bucket -> Medical Education","Speciality Bucket -> OBGYN","Speciality Bucket -> Oncology","Speciality Bucket -> Peds","Speciality Bucket -> Psych","Speciality Bucket -> Respirology","Speciality Bucket -> Rheumatology","Speciality Bucket -> Radiology","Speciality Bucket -> Other","Speciality Bucket -> Other (COMMENT)","Speciality Bucket -> Can't tell","Type Bucket -> Evidence-based guidance documents and guidelines","Type Bucket -> High quality descriptive studies","Type Bucket -> Natural history studies","Type Bucket -> Case report","Type Bucket -> Reports of interventions/treatments","Type Bucket -> Imaging studies","Type Bucket -> Letter to the Editor/Opinion","Type Bucket -> Other","Type Bucket -> Other (COMMENT)","Type Bucket -> Can't tell","Should this reference be included in the next stage? ",
"11","OW Hamer, B Salzberger, J Gebauer, C Stroszczynski, M Pfeifer","CT morphology of COVID-19: Case report and review of literature.","Mar 2020","RoFo : Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin","32215898","becky.jones","1","Yes","Systematic Review","1966","N/A - pick if not case report",,,,,,,,,,,,,,,"Respirology",,,"Other","Radiology",,,,,,,,,"Other","Imaging",,"Yes",
"11","OW Hamer, B Salzberger, J Gebauer, C Stroszczynski, M Pfeifer","CT morphology of COVID-19: Case report and review of literature.","Mar 2020","RoFo : Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin","32215898","Meghanglibbery","1","Yes","Systematic Review","1966","N/A - pick if not case report",,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,"Imaging studies",,,,,"Yes",
"14","S Ekins, TR Lane, PB Madrid","Tilorone: a Broad-Spectrum Antiviral Invented in the USA and Commercialized in Russia and beyond.","Mar 2020","Pharmaceutical research","32215760","becky.jones","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,"General",,,,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,,,,,"Yes",
"14","S Ekins, TR Lane, PB Madrid","Tilorone: a Broad-Spectrum Antiviral Invented in the USA and Commercialized in Russia and beyond.","Mar 2020","Pharmaceutical research","32215760","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion","0","N/A - pick if not case report",,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,,,,,"Yes",
"15","K Li, Y Fang, W Li, C Pan, P Qin, Y Zhong, X Liu, M Huang, Y Liao, S Li","CT image visual quantitative evaluation and clinical classification of coronavirus disease (COVID-19).","Mar 2020","European radiology","32215691","becky.jones","1","Yes","Cohort Studies","78","N/A - pick if not case report",,,,,,,,,,,,,,,,,"Radiology",,,,,,,,,"Imaging studies",,,,,"Yes",
"15","K Li, Y Fang, W Li, C Pan, P Qin, Y Zhong, X Liu, M Huang, Y Liao, S Li","CT image visual quantitative evaluation and clinical classification of coronavirus disease (COVID-19).","Mar 2020","European radiology","32215691","Meghanglibbery","1","Yes","Systematic Review","78","N/A - pick if not case report",,,,,,,,,,,,,,,,,"Radiology",,,,,,,,,"Imaging studies",,,,,"Yes",
"17","JT Poston, BK Patel, AM Davis","Management of Critically Ill Adults With COVID-19.","Mar 2020","JAMA","32215647","becky.jones","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,,,,,"Medical Education",,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,"Yes",
"17","JT Poston, BK Patel, AM Davis","Management of Critically Ill Adults With COVID-19.","Mar 2020","JAMA","32215647","Meghanglibbery","1","Yes","Systematic Review","685,482","N/A - pick if not case report",,,,,,"General",,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,"Yes",
"20","A Giacomelli, L Pezzati, F Conti, D Bernacchia, M Siano, L Oreni, S Rusconi, C Gervasoni, AL Ridolfo, G Rizzardini, S Antinori, M Galli","Self-reported olfactory and taste disorders in SARS-CoV-2 patients: a cross-sectional study.","Mar 2020","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","32215618","becky.jones","1","Yes","Survey",,"N/A - pick if not case report",,,,,,"General",,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,,"Yes",
"20","A Giacomelli, L Pezzati, F Conti, D Bernacchia, M Siano, L Oreni, S Rusconi, C Gervasoni, AL Ridolfo, G Rizzardini, S Antinori, M Galli","Self-reported olfactory and taste disorders in SARS-CoV-2 patients: a cross-sectional study.","Mar 2020","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","32215618","Meghanglibbery","1","Yes","Survey","59","N/A - pick if not case report",,,,,,,,,,,,,,,,,,"Other","Otolaryngology",,,,"Natural history studies",,,,,,,,"Yes",
"21","TC Hanff, MO Harhay, TS Brown, JB Cohen, AM Mohareb","Is There an Association Between COVID-19 Mortality and the Renin-Angiotensin System-a Call for Epidemiologic Investigations.","Mar 2020","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","32215613","kearneh","1","Yes","Narrative Review/Expert Opinion","0","N/A - pick if not case report",,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"21","TC Hanff, MO Harhay, TS Brown, JB Cohen, AM Mohareb","Is There an Association Between COVID-19 Mortality and the Renin-Angiotensin System-a Call for Epidemiologic Investigations.","Mar 2020","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","32215613","becky.jones","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,"Cardiology","Emergency Medicine",,,"General",,"Internal Medicine",,,,,,,,,,,,,,,"Natural history studies",,,,,,,,"Yes",
"22","L Zeng, S Xia, W Yuan, K Yan, F Xiao, J Shao, W Zhou","Neonatal Early-Onset Infection With SARS-CoV-2 in 33 Neonates Born to Mothers With COVID-19 in Wuhan, China.","Mar 2020","JAMA pediatrics","32215598","kearneh","1","Yes","Cohort Studies","33","N/A - pick if not case report",,,,,,,,,,,,,,,,,,"Other","OB/PEDS",,,"High quality descriptive studies",,,,,,,,,"Yes",
"22","L Zeng, S Xia, W Yuan, K Yan, F Xiao, J Shao, W Zhou","Neonatal Early-Onset Infection With SARS-CoV-2 in 33 Neonates Born to Mothers With COVID-19 in Wuhan, China.","Mar 2020","JAMA pediatrics","32215598","becky.jones","1","Yes","Case Series/Report","33","Yes",,,,,,,,,,,"OBGYN",,"Peds",,,,,,,,,"High quality descriptive studies",,"Case report",,,,,,,"Yes",
"23","L Bourouiba","Turbulent Gas Clouds and Respiratory Pathogen Emissions: Potential Implications for Reducing Transmission of COVID-19.","Mar 2020","JAMA","32215590","kearneh","1","Yes","Narrative Review/Expert Opinion","0","N/A - pick if not case report",,,,,,,,,,,,,,,,,,"Other","Infectious Disease",,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"23","L Bourouiba","Turbulent Gas Clouds and Respiratory Pathogen Emissions: Potential Implications for Reducing Transmission of COVID-19.","Mar 2020","JAMA","32215590","becky.jones","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,"General",,,,"Medical Education",,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,"Yes",
"24","H Zeng, C Xu, J Fan, Y Tang, Q Deng, W Zhang, X Long","Antibodies in Infants Born to Mothers With COVID-19 Pneumonia.","Mar 2020","JAMA","32215589","kearneh","1","Yes","Case Series/Report","6","Yes",,,,,,,,,,,,,,,,,,"Other","OB/PEDS",,,"High quality descriptive studies",,,,,,,,,"Yes",
"24","H Zeng, C Xu, J Fan, Y Tang, Q Deng, W Zhang, X Long","Antibodies in Infants Born to Mothers With COVID-19 Pneumonia.","Mar 2020","JAMA","32215589","becky.jones","1","Yes","Case Series/Report","6","Yes",,,,,,,,,,,"OBGYN",,"Peds",,,,,,,,,,,"Case report",,,,,,,"Yes",
"25","L Dong, J Tian, S He, C Zhu, J Wang, C Liu, J Yang","Possible Vertical Transmission of SARS-CoV-2 From an Infected Mother to Her Newborn.","Mar 2020","JAMA","32215581","kearneh","1","Yes","Case Series/Report","9","Yes",,,,,,,,,,,,,,,,,,"Other","OB/PEDS",,,"High quality descriptive studies",,,,,,,,,"Yes",
"25","L Dong, J Tian, S He, C Zhu, J Wang, C Liu, J Yang","Possible Vertical Transmission of SARS-CoV-2 From an Infected Mother to Her Newborn.","Mar 2020","JAMA","32215581","becky.jones","1","Yes","Case Series/Report","1","No",,,,,,,,,,,"OBGYN",,"Peds",,,,,,,,,,,"Case report",,,,,,,"Yes",
"27","G Monteleone, S Ardizzone","Are patients with inflammatory bowel disease at increased risk for Covid-19 infection?","Mar 2020","Journal of Crohn's & colitis","32215548","kearneh","1","Yes","Narrative Review/Expert Opinion","0","N/A - pick if not case report",,,,,"Gastroenterology",,,"Internal Medicine",,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"27","G Monteleone, S Ardizzone","Are patients with inflammatory bowel disease at increased risk for Covid-19 infection?","Mar 2020","Journal of Crohn's & colitis","32215548","becky.jones","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,"Gastroenterology",,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,,"Yes",
"30","J Qiu, B Shen, M Zhao, Z Wang, B Xie, Y Xu","A nationwide survey of psychological distress among Chinese people in the COVID-19 epidemic: implications and policy recommendations.","2020","General psychiatry","32215365","kearneh","1","Yes","Survey","52730","N/A - pick if not case report",,,,"Family Medicine",,"General",,,,,,,,,,,,"Other","Psychiatry",,,"High quality descriptive studies",,,,,,,,,"Yes",
"30","J Qiu, B Shen, M Zhao, Z Wang, B Xie, Y Xu","A nationwide survey of psychological distress among Chinese people in the COVID-19 epidemic: implications and policy recommendations.","2020","General psychiatry","32215365","becky.jones","1","Yes","Survey","52730","N/A - pick if not case report",,,,"Family Medicine",,"General",,,,,,,,"Psych",,,,,,,,"High quality descriptive studies","Natural history studies",,,,,,,,"Yes",
"32","S Danese, M Cecconi, A Spinelli","Management of IBD during the COVID-19 outbreak: resetting clinical priorities.","Mar 2020","Nature reviews. Gastroenterology & hepatology","32214232","kearneh","1","Yes","Narrative Review/Expert Opinion","0","N/A - pick if not case report",,,,,"Gastroenterology",,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"32","S Danese, M Cecconi, A Spinelli","Management of IBD during the COVID-19 outbreak: resetting clinical priorities.","Mar 2020","Nature reviews. Gastroenterology & hepatology","32214232","becky.jones","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,"Gastroenterology",,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,"Yes",
"36",,"Severe Outcomes Among Patients with Coronavirus Disease 2019 (COVID-19) - United States, February 12-March 16, 2020.","Mar 2020","MMWR. Morbidity and mortality weekly report","32214079","kearneh","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,"General",,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"36",,"Severe Outcomes Among Patients with Coronavirus Disease 2019 (COVID-19) - United States, February 12-March 16, 2020.","Mar 2020","MMWR. Morbidity and mortality weekly report","32214079","becky.jones","1","Yes","Cohort Studies",,"N/A - pick if not case report",,,,,,"General",,,"ICU",,,,,,,,,,,,,,"Natural history studies",,,,,,,,"Yes",
"43","X Jin, JS Lian, JH Hu, J Gao, L Zheng, YM Zhang, SR Hao, HY Jia, H Cai, XL Zhang, GD Yu, KJ Xu, XY Wang, JQ Gu, SY Zhang, CY Ye, CL Jin, YF Lu, X Yu, XP Yu, JR Huang, KL Xu, Q Ni, CB Yu, B Zhu, YT Li, J Liu, H Zhao, X Zhang, L Yu, YZ Guo, JW Su, JJ Tao, GJ Lang, XX Wu, WR Wu, TT Qv, DR Xiang, P Yi, D Shi, Y Chen, Y Ren, YQ Qiu, LJ Li, J Sheng, Y Yang","Epidemiological, clinical and virological characteristics of 74 cases of coronavirus-infected disease 2019 (COVID-19) with gastrointestinal symptoms.","Mar 2020","Gut","32213556","kearneh","1","Yes","Case Series/Report","651","Yes",,,,,"Gastroenterology",,,"Internal Medicine",,,,,,,,,,,,,,"High quality descriptive studies",,,,,,,,,"Yes",
"43","X Jin, JS Lian, JH Hu, J Gao, L Zheng, YM Zhang, SR Hao, HY Jia, H Cai, XL Zhang, GD Yu, KJ Xu, XY Wang, JQ Gu, SY Zhang, CY Ye, CL Jin, YF Lu, X Yu, XP Yu, JR Huang, KL Xu, Q Ni, CB Yu, B Zhu, YT Li, J Liu, H Zhao, X Zhang, L Yu, YZ Guo, JW Su, JJ Tao, GJ Lang, XX Wu, WR Wu, TT Qv, DR Xiang, P Yi, D Shi, Y Chen, Y Ren, YQ Qiu, LJ Li, J Sheng, Y Yang","Epidemiological, clinical and virological characteristics of 74 cases of coronavirus-infected disease 2019 (COVID-19) with gastrointestinal symptoms.","Mar 2020","Gut","32213556","becky.jones","1","Yes","Case Series/Report","651","Yes",,,"Emergency Medicine",,"Gastroenterology",,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,,"Yes",
"45","T Greenhalgh, GCH Koh, J Car","Covid-19: a remote assessment in primary care.","Mar 2020","BMJ (Clinical research ed.)","32213507","kearneh","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,"Family Medicine",,"General",,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,"Yes",
"45","T Greenhalgh, GCH Koh, J Car","Covid-19: a remote assessment in primary care.","Mar 2020","BMJ (Clinical research ed.)","32213507","becky.jones","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,"Family Medicine",,"General",,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"53","KK To, OT Tsang, WS Leung, AR Tam, TC Wu, DC Lung, CC Yip, JP Cai, JM Chan, TS Chik, DP Lau, CY Choi, LL Chen, WM Chan, KH Chan, JD Ip, AC Ng, RW Poon, CT Luo, VC Cheng, JF Chan, IF Hung, Z Chen, H Chen, KY Yuen","Temporal profiles of viral load in posterior oropharyngeal saliva samples and serum antibody responses during infection by SARS-CoV-2: an observational cohort study.","Mar 2020","The Lancet. Infectious diseases","32213337","kearneh","1","Yes","Cohort Studies","23","N/A - pick if not case report",,,,,,,,"Internal Medicine",,,,,,,,,,,,,,"High quality descriptive studies",,,,,,,,,"Yes",
"53","KK To, OT Tsang, WS Leung, AR Tam, TC Wu, DC Lung, CC Yip, JP Cai, JM Chan, TS Chik, DP Lau, CY Choi, LL Chen, WM Chan, KH Chan, JD Ip, AC Ng, RW Poon, CT Luo, VC Cheng, JF Chan, IF Hung, Z Chen, H Chen, KY Yuen","Temporal profiles of viral load in posterior oropharyngeal saliva samples and serum antibody responses during infection by SARS-CoV-2: an observational cohort study.","Mar 2020","The Lancet. Infectious diseases","32213337","becky.jones","1","Yes","Cohort Studies","23","N/A - pick if not case report",,,"Emergency Medicine","Family Medicine",,"General",,"Internal Medicine",,,,,,,,,,"Other","ENT",,,"High quality descriptive studies",,,,,,,,,"Yes",
"56","JR Koo, AR Cook, M Park, Y Sun, H Sun, JT Lim, C Tam, BL Dickens","Interventions to mitigate early spread of SARS-CoV-2 in Singapore: a modelling study.","Mar 2020","The Lancet. Infectious diseases","32213332","kearneh","1","Yes","Can't tell",,"N/A - pick if not case report",,,,,,,,,,,,,,,,,,"Other","Infectious Disease",,,"High quality descriptive studies",,,,,,,,,"Yes",
"56","JR Koo, AR Cook, M Park, Y Sun, H Sun, JT Lim, C Tam, BL Dickens","Interventions to mitigate early spread of SARS-CoV-2 in Singapore: a modelling study.","Mar 2020","The Lancet. Infectious diseases","32213332","becky.jones","1","Yes","Can't tell",,"N/A - pick if not case report",,,,,,,,,,,,,,,,,,"Other","Public Health",,,,"Natural history studies",,,,,,,,"Yes",
"58","JA Lewnard, NC Lo","Scientific and ethical basis for social-distancing interventions against COVID-19.","Mar 2020","The Lancet. Infectious diseases","32213329","kearneh","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,"General",,,,,,,,,,,,"Other","Infectious Disease",,"Evidence-based guidance documents and guidelines",,,,,,,,,,"Yes",
"58","JA Lewnard, NC Lo","Scientific and ethical basis for social-distancing interventions against COVID-19.","Mar 2020","The Lancet. Infectious diseases","32213329","becky.jones","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,"General",,,,,,,,,,,,"Other","Public Health",,"Evidence-based guidance documents and guidelines",,,,,,,,,,"Yes",
"63","H Gan, Y Zhang, M Yuan, XY Wu, ZR Liu, M Liu, JB Wu, SJ Xu, L Gong, HL Xu, FB Tao","[Epidemiological analysis on 1 052 cases of COVID-19 in epidemic clusters].","Mar 2020","Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi","32213270","kearneh","1","Yes","Case Series/Report","1052","N/A - pick if not case report",,,,,,"General",,,,,,,,,,,,"Other","Infectious Disease",,,,,"Case report",,,,,,,"Yes",
"63","H Gan, Y Zhang, M Yuan, XY Wu, ZR Liu, M Liu, JB Wu, SJ Xu, L Gong, HL Xu, FB Tao","[Epidemiological analysis on 1 052 cases of COVID-19 in epidemic clusters].","Mar 2020","Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi","32213270","becky.jones","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,"General",,,,,,,,,,,,"Other","Public Health",,,,"Natural history studies",,,,,,,,"Yes",
"63","H Gan, Y Zhang, M Yuan, XY Wu, ZR Liu, M Liu, JB Wu, SJ Xu, L Gong, HL Xu, FB Tao","[Epidemiological analysis on 1 052 cases of COVID-19 in epidemic clusters].","Mar 2020","Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi","32213270","Meghanglibbery","1","Yes","Systematic Review","1052","N/A - pick if not case report",,,,,,"General",,,,,,,,,,,,,,,,,,,,,,"Other","Epidemiology",,"Yes",
"64","YF Liu, JM Li, PH Zhou, J Liu, XC Dong, J Lyu, Y Zhang","[Analysis on cluster cases of COVID-19 in Tianjin].","Mar 2020","Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi","32213269","kearneh","1","Yes","Case Series/Report","115","Yes",,,,,,"General",,,,,,,,,,,,"Other","Infectious Disease",,,,,"Case report",,,,,,,"Yes",
"64","YF Liu, JM Li, PH Zhou, J Liu, XC Dong, J Lyu, Y Zhang","[Analysis on cluster cases of COVID-19 in Tianjin].","Mar 2020","Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi","32213269","becky.jones","1","Yes","Cohort Studies","115","N/A - pick if not case report",,,,,,"General",,,,,,,,,,,,"Other","Public Health",,,,"Natural history studies",,,,,,,,"Yes",
"64","YF Liu, JM Li, PH Zhou, J Liu, XC Dong, J Lyu, Y Zhang","[Analysis on cluster cases of COVID-19 in Tianjin].","Mar 2020","Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi","32213269","Meghanglibbery","1","Yes","Systematic Review","115","N/A - pick if not case report",,,,,,"General",,,,,,,,,,,,,,,,,,,,,,"Other","Epidemiology",,"Yes",
"68","SWX Ong, YK Tan, S Sutjipto, PY Chia, BE Young, M Gum, SK Lau, M Chan, S Vasoo, S Mendis, BK Toh, J Leong, T Barkham, BSP Ang, BH Tan, YS Leo, K Marimuthu, MSY Wong, OT Ng","Absence of contamination of personal protective equipment (PPE) by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2).","Mar 2020","Infection control and hospital epidemiology","32213231","kearneh","1","Yes","Case Series/Report","15","Yes",,,,,,"General",,,,,,,,,,,,"Other","Infectious Disease",,,"High quality descriptive studies",,,,,,,,,"Yes",
"68","SWX Ong, YK Tan, S Sutjipto, PY Chia, BE Young, M Gum, SK Lau, M Chan, S Vasoo, S Mendis, BK Toh, J Leong, T Barkham, BSP Ang, BH Tan, YS Leo, K Marimuthu, MSY Wong, OT Ng","Absence of contamination of personal protective equipment (PPE) by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2).","Mar 2020","Infection control and hospital epidemiology","32213231","becky.jones","1","Yes","Case Series/Report","15","Yes",,,"Emergency Medicine",,,,,,,,,,,,,,,"Other","ID",,,"High quality descriptive studies",,,,,,,,,"Yes",
"68","SWX Ong, YK Tan, S Sutjipto, PY Chia, BE Young, M Gum, SK Lau, M Chan, S Vasoo, S Mendis, BK Toh, J Leong, T Barkham, BSP Ang, BH Tan, YS Leo, K Marimuthu, MSY Wong, OT Ng","Absence of contamination of personal protective equipment (PPE) by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2).","Mar 2020","Infection control and hospital epidemiology","32213231","Meghanglibbery","1","Yes","Survey","15","N/A - pick if not case report",,,,,,"General",,,,,,,,,,,,,,,,,,,,,,"Other","PPE",,"Yes",
"69","A Hendin, CG La Rivière, DM Williscroft, E O'Connor, J Hughes, LM Fischer","End-of-life care in the Emergency Department for the patient imminently dying of a highly transmissible acute respiratory infection (such as COVID-19).","Mar 2020","CJEM","32213224","kearneh","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,"General",,"Internal Medicine",,,,,,,,,,"Other","Palliative Care",,"Evidence-based guidance documents and guidelines",,,,,,,,,,"Yes",
"69","A Hendin, CG La Rivière, DM Williscroft, E O'Connor, J Hughes, LM Fischer","End-of-life care in the Emergency Department for the patient imminently dying of a highly transmissible acute respiratory infection (such as COVID-19).","Mar 2020","CJEM","32213224","becky.jones","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,"Emergency Medicine",,,,,,,,,,,,,,,"Other","Palliative Care",,"Evidence-based guidance documents and guidelines",,,,,,,,,,"Yes",
"69","A Hendin, CG La Rivière, DM Williscroft, E O'Connor, J Hughes, LM Fischer","End-of-life care in the Emergency Department for the patient imminently dying of a highly transmissible acute respiratory infection (such as COVID-19).","Mar 2020","CJEM","32213224","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,"Emergency Medicine",,,,,,,,,,,,,,,"Other","Palliative Care",,"Evidence-based guidance documents and guidelines",,,,,,,,,,"Yes",
"70","S Carradori","Are there any Therapeutic Options Currently Available for Wuhan Coronavirus?","Feb 2020","Anti-inflammatory & anti-allergy agents in medicinal chemistry","32213152","becky.jones","1","Yes","Can't tell",,"N/A - pick if not case report",,,"Emergency Medicine",,,"General",,"Internal Medicine","ICU",,,,,,,,,,,,,,,,"Reports of interventions/treatments",,,,,,"Yes",
"70","S Carradori","Are there any Therapeutic Options Currently Available for Wuhan Coronavirus?","Feb 2020","Anti-inflammatory & anti-allergy agents in medicinal chemistry","32213152","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,"General",,"Internal Medicine","ICU",,,,,,,,,,,,,,,,"Reports of interventions/treatments",,,,,,"Yes",
