"Refid","Author","Title","Abstract","Date","Journal","PMID","User","Level","Were you able to find the article? ","Type of Study","Speciality Bucket -> Anesthesia","Speciality Bucket -> Cardiology","Speciality Bucket -> Dermatology","Speciality Bucket -> Emergency Medicine","Speciality Bucket -> ENT","Speciality Bucket -> Family Medicine","Speciality Bucket -> Gastroenterology","Speciality Bucket -> Geriatrics","Speciality Bucket -> General","Speciality Bucket -> Hematology","Speciality Bucket -> ICU","Speciality Bucket -> Infectious Disease","Speciality Bucket -> Immunology","Speciality Bucket -> Internal Medicine","Speciality Bucket -> Medical Education","Speciality Bucket -> Microbiology","Speciality Bucket -> Nephrology","Speciality Bucket -> Neurology","Speciality Bucket -> OBGYN","Speciality Bucket -> Oncology","Speciality Bucket -> Ophthalmology","Speciality Bucket -> Palliative Care","Speciality Bucket -> Pathology","Speciality Bucket -> Pediatrics","Speciality Bucket -> Public Health","Speciality Bucket -> Psych","Speciality Bucket -> Respirology","Speciality Bucket -> Rheumatology","Speciality Bucket -> Radiology","Speciality Bucket -> Surgery","Speciality Bucket -> Urology","Type of Publication -> Evidence-based guidance documents and guidelines","Type of Publication -> Systematic review/meta analysis","Type of Publication -> Observational  studies","Type of Publication -> Experimental studies","Type of Publication -> Natural history studies","Type of Publication -> Case report","Type of Publication -> Lab studies","Type of Publication -> Reports of interventions/treatments","Type of Publication -> Imaging studies","Type of Publication -> Letter to the Editor/Narrative Review","Type of Publication -> Statistical modelling/analytical studies","Should this reference be included in the next stage? ",
"22","L Zeng, S Xia, W Yuan, K Yan, F Xiao, J Shao, W Zhou","Neonatal Early-Onset Infection With SARS-CoV-2 in 33 Neonates Born to Mothers With COVID-19 in Wuhan, China.",,"Mar 2020","JAMA pediatrics","32215598","kearneh","1","Yes","Cohort Studies",,,,,,,,,,,,,,,,,,,"OBGYN",,,,,"Pediatrics",,,,,,,,,,"Observational  studies",,,,,,,,,"Yes",
"22","L Zeng, S Xia, W Yuan, K Yan, F Xiao, J Shao, W Zhou","Neonatal Early-Onset Infection With SARS-CoV-2 in 33 Neonates Born to Mothers With COVID-19 in Wuhan, China.",,"Mar 2020","JAMA pediatrics","32215598","becky.jones","1","Yes","Cohort Studies",,,,,,,,,,,,,,,,,,,"OBGYN",,,,,"Pediatrics",,,,,,,,,,"Observational  studies",,,,,,,,,"Yes",
"23","L Bourouiba","Turbulent Gas Clouds and Respiratory Pathogen Emissions: Potential Implications for Reducing Transmission of COVID-19.",,"Mar 2020","JAMA","32215590","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,"Public Health",,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,"Yes",
"23","L Bourouiba","Turbulent Gas Clouds and Respiratory Pathogen Emissions: Potential Implications for Reducing Transmission of COVID-19.",,"Mar 2020","JAMA","32215590","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,"General",,,,,,,,,,,,,,,,"Public Health",,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,"Yes",
"24","H Zeng, C Xu, J Fan, Y Tang, Q Deng, W Zhang, X Long","Antibodies in Infants Born to Mothers With COVID-19 Pneumonia.",,"Mar 2020","JAMA","32215589","kearneh","1","Yes","Case Series/Report",,,,,,,,,,,,,,,,,,,"OBGYN",,,,,"Pediatrics",,,,,,,,,,,,,"Case report",,,,,,"Yes",
"24","H Zeng, C Xu, J Fan, Y Tang, Q Deng, W Zhang, X Long","Antibodies in Infants Born to Mothers With COVID-19 Pneumonia.",,"Mar 2020","JAMA","32215589","becky.jones","1","Yes","Case Series/Report",,,,,,,,,,,,,,,,,,,"OBGYN",,,,,"Pediatrics",,,,,,,,,,,,,"Case report",,,,,,"Yes",
"25","L Dong, J Tian, S He, C Zhu, J Wang, C Liu, J Yang","Possible Vertical Transmission of SARS-CoV-2 From an Infected Mother to Her Newborn.",,"Mar 2020","JAMA","32215581","kearneh","1","Yes","Case Series/Report",,,,,,,,,,,,,,,,,,,"OBGYN",,,,,"Pediatrics",,,,,,,,,,,,,"Case report",,,,,,"Yes",
"25","L Dong, J Tian, S He, C Zhu, J Wang, C Liu, J Yang","Possible Vertical Transmission of SARS-CoV-2 From an Infected Mother to Her Newborn.",,"Mar 2020","JAMA","32215581","becky.jones","1","Yes","Case Series/Report",,,,,,,,,,,,,,,,,,,"OBGYN",,,,,"Pediatrics",,,,,,,,,,,,,"Case report",,,,,,"Yes",
"27","G Monteleone, S Ardizzone","Are patients with inflammatory bowel disease at increased risk for Covid-19 infection?","Crohn's disease (CD)] and ulcerative colitis (UC), the main inflammatory bowel diseases (IBD) in human beings, are chronic, immune-inflammatory diseases, whose pathogenesis implicates a complex interaction between environmental factors and genetic susceptibility. These disabling conditions affect millions of individuals and, together with the drugs used to treat them, can put patients at risk of developing complications and other conditions. This is particularly relevant nowadays, as coronavirus disease (Covid-19) has rapidly spread from China to countries where IBD are more prevalent and there is convincing evidence that Covid-19-mediated morbidity and mortality are higher in subjects with comorbidities. The primary objectives of this Viewpoint are to provide a focused overview of the factors and mechanisms by which the novel severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infects the cells and to illustrate the link between such determinants and the intestinal inflammation. We also provide clues about the reasons why the overall IBD population might have no increased risk to be infected with SARS-CoV-2 and highlight the potential of cytokine blockers, used to treat IBD patients, to prevent Covid-driven pneumonia.  ","Mar 2020","Journal of Crohn's & colitis","32215548","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,,,,"Gastroenterology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Narrative Review",,"Yes",
"27","G Monteleone, S Ardizzone","Are patients with inflammatory bowel disease at increased risk for Covid-19 infection?","Crohn's disease (CD)] and ulcerative colitis (UC), the main inflammatory bowel diseases (IBD) in human beings, are chronic, immune-inflammatory diseases, whose pathogenesis implicates a complex interaction between environmental factors and genetic susceptibility. These disabling conditions affect millions of individuals and, together with the drugs used to treat them, can put patients at risk of developing complications and other conditions. This is particularly relevant nowadays, as coronavirus disease (Covid-19) has rapidly spread from China to countries where IBD are more prevalent and there is convincing evidence that Covid-19-mediated morbidity and mortality are higher in subjects with comorbidities. The primary objectives of this Viewpoint are to provide a focused overview of the factors and mechanisms by which the novel severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infects the cells and to illustrate the link between such determinants and the intestinal inflammation. We also provide clues about the reasons why the overall IBD population might have no increased risk to be infected with SARS-CoV-2 and highlight the potential of cytokine blockers, used to treat IBD patients, to prevent Covid-driven pneumonia.  ","Mar 2020","Journal of Crohn's & colitis","32215548","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,,,,"Gastroenterology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,"Yes",
"30","J Qiu, B Shen, M Zhao, Z Wang, B Xie, Y Xu","A nationwide survey of psychological distress among Chinese people in the COVID-19 epidemic: implications and policy recommendations.","The Coronavirus Disease 2019 (COVID-19) epidemic emerged in Wuhan, China, spread nationwide and then onto half a dozen other countries between December 2019 and early 2020. The implementation of unprecedented strict quarantine measures in China has kept a large number of people in isolation and affected many aspects of people's lives. It has also triggered a wide variety of psychological problems, such as panic disorder, anxiety and depression. This study is the first nationwide large-scale survey of psychological distress in the general population of China during the COVID-19 epidemic.  ","2020","General psychiatry","32215365","kearneh","1","Yes","Survey",,,,,,"Family Medicine",,,"General",,,,,,,,,,,,,,,,,"Psych",,,,,,,,"Observational  studies",,,,,,,,,"Yes",
"30","J Qiu, B Shen, M Zhao, Z Wang, B Xie, Y Xu","A nationwide survey of psychological distress among Chinese people in the COVID-19 epidemic: implications and policy recommendations.","The Coronavirus Disease 2019 (COVID-19) epidemic emerged in Wuhan, China, spread nationwide and then onto half a dozen other countries between December 2019 and early 2020. The implementation of unprecedented strict quarantine measures in China has kept a large number of people in isolation and affected many aspects of people's lives. It has also triggered a wide variety of psychological problems, such as panic disorder, anxiety and depression. This study is the first nationwide large-scale survey of psychological distress in the general population of China during the COVID-19 epidemic.  ","2020","General psychiatry","32215365","becky.jones","1","Yes","Survey",,,,,,"Family Medicine",,,"General",,,,,,,,,,,,,,,,,"Psych",,,,,,,,"Observational  studies",,,,,,,,,"Yes",
"32","S Danese, M Cecconi, A Spinelli","Management of IBD during the COVID-19 outbreak: resetting clinical priorities.",,"Mar 2020","Nature reviews. Gastroenterology & hepatology","32214232","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,,,,"Gastroenterology",,,,,,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,"Yes",
"32","S Danese, M Cecconi, A Spinelli","Management of IBD during the COVID-19 outbreak: resetting clinical priorities.",,"Mar 2020","Nature reviews. Gastroenterology & hepatology","32214232","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,,,,"Gastroenterology",,,,,,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,"Yes",
