"Refid","Author","Title","Date","Journal","PMID","User","Level","Were you able to find the article? ","Type of Study","Speciality Bucket -> Anesthesia","Speciality Bucket -> Cardiology","Speciality Bucket -> Dermatology","Speciality Bucket -> Emergency Medicine","Speciality Bucket -> Family Medicine","Speciality Bucket -> Gastroenterology","Speciality Bucket -> Geriatrics","Speciality Bucket -> General","Speciality Bucket -> Hematology","Speciality Bucket -> Immunology","Speciality Bucket -> Internal Medicine","Speciality Bucket -> ICU","Speciality Bucket -> Medical Education","Speciality Bucket -> Microbiology","Speciality Bucket -> Nephrology","Speciality Bucket -> Neurology","Speciality Bucket -> OBGYN","Speciality Bucket -> Oncology","Speciality Bucket -> Palliative Care","Speciality Bucket -> Peds","Speciality Bucket -> Public Health","Speciality Bucket -> Psych","Speciality Bucket -> Respirology","Speciality Bucket -> Rheumatology","Speciality Bucket -> Radiology","Speciality Bucket -> Surgery","Speciality Bucket -> Other","Speciality Bucket -> Other (COMMENT)","Type Bucket -> Evidence-based guidance documents and guidelines","Type Bucket -> High quality observational  studies (cohort, case-control studies, etc.)","Type Bucket -> High quality experimental studies (RCTs)","Type Bucket -> Natural history studies","Type Bucket -> Case report","Type Bucket -> Lab studies","Type Bucket -> Reports of interventions/treatments","Type Bucket -> Imaging studies","Type Bucket -> Letter to the Editor/Opinion","Type Bucket -> Incorrect Coronavirus","Type Bucket -> Not in English","Type Bucket -> Other","Type Bucket -> Other (COMMENT)","Type Bucket -> Can't tell","Should this reference be included in the next stage? ",
"56","JR Koo, AR Cook, M Park, Y Sun, H Sun, JT Lim, C Tam, BL Dickens","Interventions to mitigate early spread of SARS-CoV-2 in Singapore: a modelling study.","Mar 2020","The Lancet. Infectious diseases","32213332","kearneh","1","Yes","Case Control Studies",,,,,,,,,,,,,,,,,,,,,"Public Health",,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,"Yes",
"56","JR Koo, AR Cook, M Park, Y Sun, H Sun, JT Lim, C Tam, BL Dickens","Interventions to mitigate early spread of SARS-CoV-2 in Singapore: a modelling study.","Mar 2020","The Lancet. Infectious diseases","32213332","becky.jones","1","Yes","Case Control Studies",,,,,,,,,,,,,,,,,,,,,"Public Health",,,,,,,,,,,"Natural history studies",,,,,,,,,,,"Yes",
"58","JA Lewnard, NC Lo","Scientific and ethical basis for social-distancing interventions against COVID-19.","Mar 2020","The Lancet. Infectious diseases","32213329","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,"Public Health",,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"58","JA Lewnard, NC Lo","Scientific and ethical basis for social-distancing interventions against COVID-19.","Mar 2020","The Lancet. Infectious diseases","32213329","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,"Public Health",,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"68","SWX Ong, YK Tan, S Sutjipto, PY Chia, BE Young, M Gum, SK Lau, M Chan, S Vasoo, S Mendis, BK Toh, J Leong, T Barkham, BSP Ang, BH Tan, YS Leo, K Marimuthu, MSY Wong, OT Ng","Absence of contamination of personal protective equipment (PPE) by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2).","Mar 2020","Infection control and hospital epidemiology","32213231","kearneh","1","Yes","Case Series/Report",,,,,,,,"General",,,,,,,,,,,,,"Public Health",,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,"Yes",
"68","SWX Ong, YK Tan, S Sutjipto, PY Chia, BE Young, M Gum, SK Lau, M Chan, S Vasoo, S Mendis, BK Toh, J Leong, T Barkham, BSP Ang, BH Tan, YS Leo, K Marimuthu, MSY Wong, OT Ng","Absence of contamination of personal protective equipment (PPE) by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2).","Mar 2020","Infection control and hospital epidemiology","32213231","becky.jones","1","Yes","Case Series/Report",,,,"Emergency Medicine",,,,,,,,,,,,,,,,,,,,,,,"Other","ID",,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,"Yes",
"68","SWX Ong, YK Tan, S Sutjipto, PY Chia, BE Young, M Gum, SK Lau, M Chan, S Vasoo, S Mendis, BK Toh, J Leong, T Barkham, BSP Ang, BH Tan, YS Leo, K Marimuthu, MSY Wong, OT Ng","Absence of contamination of personal protective equipment (PPE) by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2).","Mar 2020","Infection control and hospital epidemiology","32213231","Meghanglibbery","1","Yes","Case Series/Report",,,,,,,,"General",,,,,,,,,,,,,"Public Health",,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,"Yes",
"69","A Hendin, CG La Rivière, DM Williscroft, E O'Connor, J Hughes, LM Fischer","End-of-life care in the Emergency Department for the patient imminently dying of a highly transmissible acute respiratory infection (such as COVID-19).","Mar 2020","CJEM","32213224","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,"Emergency Medicine",,,,"General",,,"Internal Medicine",,,,,,,,"Palliative Care",,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"69","A Hendin, CG La Rivière, DM Williscroft, E O'Connor, J Hughes, LM Fischer","End-of-life care in the Emergency Department for the patient imminently dying of a highly transmissible acute respiratory infection (such as COVID-19).","Mar 2020","CJEM","32213224","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,"Emergency Medicine",,,,,,,,,,,,,,,"Palliative Care",,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"69","A Hendin, CG La Rivière, DM Williscroft, E O'Connor, J Hughes, LM Fischer","End-of-life care in the Emergency Department for the patient imminently dying of a highly transmissible acute respiratory infection (such as COVID-19).","Mar 2020","CJEM","32213224","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,"Emergency Medicine",,,,,,,,,,,,,,,"Palliative Care",,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"70","S Carradori","Are there any Therapeutic Options Currently Available for Wuhan Coronavirus?","Feb 2020","Anti-inflammatory & anti-allergy agents in medicinal chemistry","32213152","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,"Emergency Medicine",,,,"General",,,"Internal Medicine","ICU",,,,,,,,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,,,,,,,"Yes",
"70","S Carradori","Are there any Therapeutic Options Currently Available for Wuhan Coronavirus?","Feb 2020","Anti-inflammatory & anti-allergy agents in medicinal chemistry","32213152","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,"Internal Medicine","ICU",,,,,,,,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,,,,,,,"Yes",
"76","M Bersanelli","Controversies about COVID-19 and anticancer treatment with immune checkpoint inhibitors.","Mar 2020","Immunotherapy","32212881","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,"Internal Medicine",,,,,,,"Oncology",,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,"Yes",
"76","M Bersanelli","Controversies about COVID-19 and anticancer treatment with immune checkpoint inhibitors.","Mar 2020","Immunotherapy","32212881","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,"Oncology",,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,"Yes",
"77","A Shankar, D Saini, S Roy, A Mosavi Jarrahi, A Chakraborty, SJ Bharti, F Taghizadeh-Hesary","Cancer Care Delivery Challenges Amidst Coronavirus Disease - 19 (COVID-19) Outbreak: Specific Precautions for Cancer Patients and Cancer Care Providers to Prevent Spread.","Mar 2020","Asian Pacific journal of cancer prevention : APJCP","32212779","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,"ICU",,,,,,"Oncology",,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,"Yes",
"77","A Shankar, D Saini, S Roy, A Mosavi Jarrahi, A Chakraborty, SJ Bharti, F Taghizadeh-Hesary","Cancer Care Delivery Challenges Amidst Coronavirus Disease - 19 (COVID-19) Outbreak: Specific Precautions for Cancer Patients and Cancer Care Providers to Prevent Spread.","Mar 2020","Asian Pacific journal of cancer prevention : APJCP","32212779","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,"Oncology",,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,"Yes",
